comparison,particles,training_data_size,epochs,total_time_sec,total_time_min,mean_epoch_time_sec,final_train_mse,final_val_mse,final_train_kl,final_val_kl,final_train_acc,final_val_acc
particle_comparison,5,10000,500,14530.4196,242.17365999999998,29.0608392,3.713e-07,7.31e-08,-0.0015014866,-0.0081870966,0.9990901899,0.996
particle_comparison,10,10000,500,61706.1793,1028.4363216666668,123.4123586,1.13401e-05,1.6771e-06,-0.0383146654,-0.1065536663,0.968890647,0.9552222222
particle_comparison,15,10000,500,142140.7305,2369.0121750000003,284.28146100000004,3.45887e-05,2.0575e-06,-0.6066303883,-0.6706235409,0.8005410827,0.8002857143
data_size_comparison,5,100,500,232.67540000000002,3.877923333333334,0.46535080000000006,0.0001252093,3.65257e-05,-0.1049619541,-0.2038123608,0.5195,0.5205
data_size_comparison,5,250,500,455.5039,7.591731666666666,0.9110077999999999,0.0001246753,2.87525e-05,-0.0774382241,-0.1874143332,0.4984567111,0.497
data_size_comparison,5,500,500,1195.18,19.919666666666668,2.3903600000000003,0.0001073964,1.52579e-05,-0.1003983095,-0.2137192935,0.6002390894,0.5865
data_size_comparison,5,1000,500,1561.0724,26.017873333333334,3.1221448,4.79073e-05,9.3413e-06,-0.0439341408,-0.1602705121,0.1945913462,0.223
data_size_comparison,5,2000,500,2980.9871000000003,49.68311833333334,5.9619742,3.94972e-05,5.9534e-06,-0.0300713441,-0.1282610297,0.8144775391,0.8015
data_size_comparison,5,3000,500,4435.2273,73.92045499999999,8.870454599999999,2.2719e-06,8.071e-07,-0.0030062529,-0.0383260548,0.0044991629,0.019
data_size_comparison,5,10000,500,14530.4196,242.17365999999998,29.0608392,3.713e-07,7.31e-08,-0.0015014866,-0.0081870966,0.9990901899,0.996
