epoch,train_loss,train_nll,train_kl,valid_loss,valid_nll,valid_kl,type1_accuracy,type1_precision,type1_recall,type0_accuracy,type0_precision,type0_recall
1,355629.79340277775,355631.2439236111,-1.455078696763074,77231.70833333333,77232.47135416667,-0.7648971279462179,0.5751633986928104,0.07575757575757576,0.5555555555555556,0.42483660130718953,0.04597701149425287,0.4444444444444444
2,68400.21932870371,68400.90335648147,-0.6844334580280163,64475.036458333336,64475.649739583336,-0.6138766904671987,0.5718954248366013,0.07518796992481203,0.5555555555555556,0.42810457516339867,0.046242774566473986,0.4444444444444444
3,65160.5044849537,65161.11140046296,-0.6074141992463006,63396.591796875,63397.209635416664,-0.6181677679220835,0.5718954248366013,0.07518796992481203,0.5555555555555556,0.42810457516339867,0.046242774566473986,0.4444444444444444
4,64856.822916666664,64857.43243634259,-0.6091149979167514,63319.029947916664,63319.643880208336,-0.6144151389598846,0.5718954248366013,0.07518796992481203,0.5555555555555556,0.42810457516339867,0.046242774566473986,0.4444444444444444
5,64827.820601851854,64828.4302662037,-0.6098416425563671,63289.995442708336,63290.606119791664,-0.6106923222541809,0.5751633986928104,0.07575757575757576,0.5555555555555556,0.42483660130718953,0.04597701149425287,0.4444444444444444
6,65033.04195601852,65033.659866898146,-0.6178690437917356,63272.224609375,63272.838541666664,-0.6143365999062856,0.5751633986928104,0.07575757575757576,0.5555555555555556,0.42483660130718953,0.04597701149425287,0.4444444444444444
7,64754.80237268518,64755.416666666664,-0.6139753019368207,63267.688802083336,63268.291015625,-0.6025257011254629,0.5947712418300654,0.07936507936507936,0.5555555555555556,0.40522875816993464,0.044444444444444446,0.4444444444444444
8,64729.58058449074,64730.199508101854,-0.6193354858292474,63261.09375,63261.692057291664,-0.5985298554102579,0.5947712418300654,0.07936507936507936,0.5555555555555556,0.40522875816993464,0.044444444444444446,0.4444444444444444
9,64716.78342013889,64717.40972222222,-0.6261568599277072,63245.417317708336,63246.010416666664,-0.592910518248876,0.5947712418300654,0.07936507936507936,0.5555555555555556,0.40522875816993464,0.044444444444444446,0.4444444444444444
10,64888.15190972222,64888.77112268518,-0.6191328410749082,63238.751302083336,63239.347005208336,-0.5954547027746836,0.5947712418300654,0.07936507936507936,0.5555555555555556,0.40522875816993464,0.044444444444444446,0.4444444444444444
